BM BN BK TM TN GFLOPs 
64 64 8 4 4 inf 
64 64 8 4 8 1340.357422 
64 64 8 8 4 2173.682129 
64 64 8 8 8 2238.213867 
64 64 16 4 4 1628.713257 
64 64 16 4 8 1393.182251 
64 64 16 8 4 2361.851807 
64 64 16 8 8 2307.269775 
64 128 8 4 4 inf 
64 128 8 4 8 1300.642578 
64 128 8 8 4 1901.543945 
64 128 8 8 8 2220.446289 
64 128 16 4 4 1553.051514 
64 128 16 4 8 1346.530151 
64 128 16 8 4 2101.329834 
64 128 16 8 8 2295.872314 
128 64 8 4 4 inf 
128 64 8 4 8 inf 
128 64 8 8 4 inf 
128 64 8 8 8 2221.123291 
128 64 16 4 4 inf 
128 64 16 4 8 1427.687378 
128 64 16 8 4 2238.810791 
128 64 16 8 8 2303.775635 
128 128 8 4 4 inf 
